Datum,Celkový počet,Tržba
2024-02-02,1,0.0
2024-02-03,,
2024-02-04,,
2024-02-05,,
2024-02-06,,
2024-02-07,,
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,,
2024-02-16,,
2024-02-17,,
2024-02-18,,
2024-02-19,,
2024-02-20,5,240.0
2024-02-21,,
2024-02-22,,
2024-02-23,,
2024-02-24,,
2024-02-25,,
2024-02-26,,
2024-02-27,2,150.0
2024-02-28,1,100.0
2024-02-29,3,160.0
2024-03-01,2,100.0
2024-03-02,4,180.0
2024-03-03,2,100.0
2024-03-04,3,200.0
2024-03-05,2,100.0
2024-03-06,3,250.0
2024-03-07,2,130.0
2024-03-08,3,260.0
2024-03-09,2,100.0
2024-03-10,,
2024-03-11,3,140.0
2024-03-12,3,200.0
2024-03-13,1,30.0
2024-03-14,2,100.0
2024-03-15,1,100.0
2024-03-16,7,500.0
2024-03-17,,
2024-03-18,3,150.0
2024-03-19,3,150.0
2024-03-20,5,190.0
2024-03-21,,
2024-03-22,1,50.0
2024-03-23,3,250.0
2024-03-24,3,300.0
2024-03-25,16,910.0
2024-03-26,3,200.0
2024-03-27,3,250.0
2024-03-28,2,200.0
2024-03-29,2,60.0
2024-03-30,3,200.0
2024-03-31,2,110.0
2024-04-01,1,50.0
2024-04-02,2,150.0
2024-04-03,1,50.0
2024-04-04,2,100.0
2024-04-05,3,130.0
2024-04-06,9,560.0
2024-04-07,44,3490.0
2024-04-08,9,480.0
2024-04-09,12,470.0
2024-04-10,2,100.0
2024-04-11,2,100.0
2024-04-12,3,170.0
2024-04-13,17,1280.0
2024-04-14,7,480.0
2024-04-15,1,50.0
2024-04-16,,
2024-04-17,2,120.0
2024-04-18,1,50.0
2024-04-19,4,400.0
2024-04-20,4,250.0
2024-04-21,5,460.0
2024-04-22,2,120.0
2024-04-23,2,100.0
2024-04-24,3,200.0
2024-04-25,1,50.0
2024-04-26,3,160.0
2024-04-27,15,840.0
2024-04-28,8,500.0
2024-04-29,4,160.0
2024-04-30,28,1980.0
2024-05-01,42,3100.0
2024-05-02,2,160.0
2024-05-03,,
2024-05-04,2,100.0
2024-05-05,5,410.0
2024-05-06,2,100.0
2024-05-07,1,50.0
2024-05-08,2,100.0
2024-05-09,7,430.0
2024-05-10,1,30.0
2024-05-11,7,280.0
2024-05-12,13,620.0
2024-05-13,11,640.0
2024-05-14,23,1500.0
2024-05-15,21,1210.0
2024-05-16,4,151.0
2024-05-17,,
2024-05-18,7,420.0
2024-05-19,7,521.0
2024-05-20,15,74.0
2024-05-21,9,263.0
2024-05-22,,
2024-05-23,12,208.0
2024-05-24,16,711.0
2024-05-25,62,2369.0
2024-05-26,75,3163.0
2024-05-27,44,1596.0
2024-05-28,5,170.0
2024-05-29,35,1236.0
2024-05-30,12,510.0
2024-05-31,30,1482.0
2024-06-01,9,1080.0
2024-06-02,53,4424.0
