Datum,Celkový počet,Tržba
2023-01-01,128,11181.0
2023-01-02,272,22368.0
2023-01-03,339,27789.0
2023-01-04,358,30147.0
2023-01-05,319,26389.0
2023-01-06,364,30670.0
2023-01-07,366,31136.0
2023-01-08,453,37916.0
2023-01-09,265,21999.0
2023-01-10,444,37786.0
2023-01-11,350,28671.0
2023-01-12,328,26355.0
2023-01-13,425,37166.0
2023-01-14,394,32536.0
2023-01-15,517,45912.0
2023-01-16,232,19543.0
2023-01-17,347,27698.0
2023-01-18,420,36001.0
2023-01-19,390,32174.0
2023-01-20,394,33871.0
2023-01-21,317,26467.0
2023-01-22,439,39005.0
2023-01-23,286,23383.0
2023-01-24,348,27319.0
2023-01-25,394,33289.0
2023-01-26,365,29811.0
2023-01-27,422,35009.0
2023-01-28,345,29604.0
2023-01-29,468,40932.0
2023-01-30,255,20253.0
2023-01-31,405,32582.0
2023-02-01,388,32339.0
2023-02-02,360,28316.0
2023-02-03,405,33809.0
2023-02-04,387,32360.0
2023-02-05,473,40767.0
2023-02-06,251,21255.0
2023-02-07,345,28236.0
2023-02-08,360,28742.0
2023-02-09,335,26758.0
2023-02-10,351,28949.0
2023-02-11,384,33319.0
2023-02-12,497,42885.0
2023-02-13,251,21049.0
2023-02-14,364,29900.0
2023-02-15,370,31226.0
2023-02-16,347,28944.0
2023-02-17,376,31503.0
2023-02-18,377,32724.0
2023-02-19,533,44575.0
2023-02-20,249,20877.0
2023-02-21,395,31542.0
2023-02-22,381,32218.0
2023-02-23,328,25255.0
2023-02-24,405,33689.0
2023-02-25,0,0.0
2023-02-26,188,17119.0
2023-02-27,275,22524.0
2023-02-28,327,26825.0
2023-03-01,362,29857.0
2023-03-02,326,27175.0
2023-03-03,346,28426.0
2023-03-04,328,28235.0
2023-03-05,420,35677.0
2023-03-06,223,18261.0
2023-03-07,364,29655.0
2023-03-08,423,33971.0
2023-03-09,335,27842.0
2023-03-10,395,31755.0
2023-03-11,402,34428.0
2023-03-12,466,39939.0
2023-03-13,261,20860.0
2023-03-14,399,31030.0
2023-03-15,410,34607.0
2023-03-16,377,30426.0
2023-03-17,344,27894.0
2023-03-18,305,25561.0
2023-03-19,446,37453.0
2023-03-20,228,18950.0
2023-03-21,360,28711.0
2023-03-22,368,30024.0
2023-03-23,303,24766.0
2023-03-24,352,28656.0
2023-03-25,0,0.0
2023-03-26,268,24383.0
2023-03-27,264,20274.0
2023-03-28,320,26256.0
2023-03-29,386,32798.0
2023-03-30,331,26540.0
2023-03-31,362,29103.0
2023-04-01,376,32401.0
2023-04-02,465,40689.0
2023-04-03,182,14286.0
2023-04-04,346,27204.0
2023-04-05,329,27295.0
2023-04-06,315,25963.0
2023-04-07,264,21258.0
2023-04-08,331,28325.0
2023-04-09,267,21677.0
2023-04-10,123,9815.0
2023-04-11,291,23006.0
2023-04-12,324,25972.0
2023-04-13,297,24915.0
2023-04-14,373,30664.0
2023-04-15,357,28508.0
2023-04-16,382,32651.0
2023-04-17,180,13268.0
2023-04-18,340,28513.0
2023-04-19,364,30554.0
2023-04-20,293,24369.0
2023-04-21,290,23964.0
2023-04-22,248,23146.0
2023-04-23,407,36109.0
2023-04-24,213,17351.0
2023-04-25,315,26044.0
2023-04-26,354,28684.0
2023-04-27,309,25727.0
2023-04-28,16,729.0
2023-04-29,0,0.0
2023-04-30,57,5633.0
2023-05-01,188,15096.0
2023-05-02,282,22875.0
2023-05-03,303,24543.0
2023-05-04,189,15574.0
2023-05-05,259,20514.0
2023-05-06,268,22971.0
2023-05-07,322,28465.0
2023-05-08,204,17565.0
2023-05-09,245,19652.0
2023-05-10,283,23913.0
2023-05-11,267,22425.0
2023-05-12,285,24362.0
2023-05-13,237,21256.0
2023-05-14,327,28057.0
2023-05-15,198,14765.0
2023-05-16,298,24392.0
2023-05-17,324,25821.0
2023-05-18,262,20964.0
2023-05-19,276,21633.0
2023-05-20,84,7981.0
2023-05-21,348,29958.0
2023-05-22,201,16140.0
2023-05-23,284,22762.0
2023-05-24,265,21268.0
2023-05-25,245,19662.0
2023-05-26,215,17847.0
2023-05-27,240,21384.0
2023-05-28,331,30177.0
2023-05-29,213,17507.0
2023-05-30,256,20291.0
2023-05-31,271,22342.0
2023-06-01,249,21211.0
2023-06-02,217,16059.0
2023-06-03,234,20788.0
2023-06-04,278,23953.0
2023-06-05,161,13071.0
2023-06-06,304,25761.0
2023-06-07,361,28233.0
2023-06-08,251,19302.0
2023-06-09,150,12902.0
2023-06-10,208,18237.0
2023-06-11,273,24439.0
2023-06-12,186,15154.0
2023-06-13,260,19896.0
2023-06-14,267,20827.0
2023-06-15,239,19539.0
2023-06-16,195,14786.0
2023-06-17,225,18532.0
2023-06-18,242,22685.0
2023-06-19,196,16356.0
2023-06-20,278,23540.0
2023-06-21,314,26557.0
2023-06-22,211,17957.0
2023-06-23,207,16971.0
2023-06-24,195,17137.0
2023-06-25,293,27081.0
2023-06-26,179,15042.0
2023-06-27,187,13782.0
2023-06-28,279,21371.0
2023-06-29,194,16877.0
2023-06-30,208,17383.0
2023-07-01,194,17723.0
2023-07-02,242,21350.0
2023-07-03,136,11236.0
2023-07-04,181,13810.0
2023-07-05,207,17423.0
2023-07-06,155,12010.0
2023-07-07,162,13547.0
2023-07-08,226,20150.0
2023-07-09,251,23557.0
2023-07-10,187,14904.0
2023-07-11,218,18442.0
2023-07-12,203,16897.0
2023-07-13,207,16843.0
2023-07-14,137,10546.0
2023-07-15,226,22441.0
2023-07-16,224,21240.0
2023-07-17,159,12852.0
2023-07-18,,
2023-07-19,,
2023-07-20,0,0.0
2023-07-21,,
2023-07-22,,
2023-07-23,,
2023-07-24,176,14765.0
2023-07-25,178,14515.0
2023-07-26,210,17864.0
2023-07-27,192,15415.0
2023-07-28,242,21253.0
