Datum,Celkový počet,Tržba
2025-01-01,20,808.0
2025-01-02,61,2865.0
2025-01-03,59,2360.0
2025-01-04,45,2326.0
2025-01-05,39,2220.0
2025-01-06,55,2873.0
2025-01-07,54,3276.0
2025-01-08,55,2731.0
2025-01-09,58,2650.0
2025-01-10,46,2258.0
2025-01-11,50,2360.0
2025-01-12,57,3477.0
2025-01-13,68,3099.0
2025-01-14,57,2703.0
2025-01-15,72,3600.0
2025-01-16,41,2287.0
2025-01-17,68,3464.0
2025-01-18,42,1673.0
2025-01-19,68,3391.0
2025-01-20,50,2330.0
2025-01-21,61,3542.0
2025-01-22,58,2701.0
2025-01-23,53,3526.0
2025-01-24,41,1718.0
2025-01-25,41,1856.0
2025-01-26,41,2483.0
2025-01-27,56,3089.0
2025-01-28,64,3251.0
2025-01-29,63,3644.0
2025-01-30,50,2810.0
2025-01-31,46,2091.0
2025-02-01,42,1848.0
2025-02-02,50,2359.0
2025-02-03,47,2053.0
2025-02-04,59,2619.0
2025-02-05,52,2734.0
2025-02-06,57,2119.0
2025-02-07,68,3797.0
2025-02-08,40,1960.0
2025-02-09,51,2245.0
2025-02-10,43,1999.0
2025-02-11,66,2739.0
2025-02-12,51,2676.0
2025-02-13,43,1872.0
2025-02-14,63,3024.0
2025-02-15,54,3014.0
2025-02-16,31,1306.0
2025-02-17,63,2657.0
2025-02-18,64,3333.0
2025-02-19,68,2823.0
2025-02-20,53,2134.0
2025-02-21,50,2835.0
2025-02-22,51,2242.0
2025-02-23,38,1919.0
2025-02-24,62,3350.0
2025-02-25,72,3171.0
2025-02-26,71,3893.0
2025-02-27,60,2979.0
2025-02-28,58,2365.0
2025-03-01,40,2129.0
2025-03-02,57,2374.0
2025-03-03,67,3084.0
2025-03-04,72,2854.0
2025-03-05,73,3182.0
2025-03-06,51,1991.0
2025-03-07,39,1865.0
2025-03-08,52,2147.0
2025-03-09,40,1954.0
2025-03-10,42,1336.0
2025-03-11,70,2784.0
2025-03-12,50,1931.0
2025-03-13,48,2115.0
2025-03-14,50,2353.0
2025-03-15,45,1297.0
2025-03-16,55,2496.0
2025-03-17,62,2473.0
2025-03-18,76,3407.0
2025-03-19,50,2060.0
2025-03-20,56,2721.0
2025-03-21,55,2484.0
2025-03-22,34,1453.0
2025-03-23,55,3072.0
2025-03-24,63,2254.0
2025-03-25,64,2929.0
2025-03-26,71,2669.0
2025-03-27,74,3402.0
2025-03-28,56,2558.0
2025-03-29,33,1321.0
2025-03-30,48,1957.0
2025-03-31,69,2804.0
2025-04-01,67,2941.0
2025-04-02,65,2574.0
2025-04-03,65,3505.0
2025-04-04,56,2672.0
2025-04-05,49,2180.0
2025-04-06,61,2889.0
2025-04-07,76,3165.0
2025-04-08,91,4595.0
2025-04-09,69,2954.0
2025-04-10,60,3101.0
2025-04-11,65,2912.0
2025-04-12,45,2584.0
2025-04-13,48,2022.0
2025-04-14,81,4706.0
2025-04-15,75,3977.0
2025-04-16,54,3064.0
2025-04-17,47,2443.0
2025-04-18,59,3544.0
2025-04-19,51,2447.0
2025-04-20,41,1806.0
2025-04-21,36,1198.0
2025-04-22,73,4136.0
2025-04-23,63,3177.0
2025-04-24,61,3165.0
2025-04-25,73,4138.0
2025-04-26,38,2353.0
