Datum,Celkový počet,Tržba
2023-05-20,22,750.0
2023-05-21,36,2240.0
2023-05-22,74,4250.0
2023-05-23,,
2023-05-24,,
2023-05-25,27,2580.0
2023-05-26,5,150.0
2023-05-27,39,2450.0
2023-05-28,144,9950.0
2023-05-29,38,2150.0
2023-05-30,33,2050.0
2023-05-31,69,3700.0
2023-06-01,296,13580.0
2023-06-02,18,1520.0
2023-06-03,144,12230.0
2023-06-04,414,34240.0
2023-06-05,39,3120.0
2023-06-06,,
2023-06-07,,
2023-06-08,7,400.0
2023-06-09,91,5920.0
2023-06-10,106,8090.0
2023-06-11,455,39750.0
2023-06-12,110,7420.0
2023-06-13,11,830.0
2023-06-14,2,30.0
2023-06-15,7,490.0
2023-06-16,19,870.0
2023-06-17,8,650.0
2023-06-18,433,37270.0
2023-06-19,146,10560.0
2023-06-20,297,22120.0
2023-06-21,824,66340.0
2023-06-22,1149,89270.0
2023-06-23,24,1650.0
2023-06-24,334,26260.0
2023-06-25,691,56260.0
2023-06-26,1374,112492.0
2023-06-27,59,3680.0
2023-06-28,44,2300.0
2023-06-29,666,54080.0
2023-06-30,66,4570.0
2023-07-01,195,14600.0
2023-07-02,93,8060.0
2023-07-03,86,6380.0
2023-07-04,291,22160.0
2023-07-05,152,11030.0
2023-07-06,407,32760.0
2023-07-07,1053,86670.0
2023-07-08,2066,171610.0
2023-07-09,2417,212430.0
2023-07-10,367,28670.0
2023-07-11,1643,133900.0
2023-07-12,532,40220.0
2023-07-13,336,25190.0
2023-07-14,581,46600.0
2023-07-15,2906,248420.0
2023-07-16,274,21570.0
2023-07-17,565,43810.0
2023-07-18,935,72970.0
2023-07-19,571,42230.0
2023-07-20,72,4270.0
2023-07-21,85,4680.0
2023-07-22,66,4280.0
2023-07-23,410,33010.0
2023-07-24,130,9330.0
2023-07-25,43,2470.0
2023-07-26,6,410.0
2023-07-27,12,510.0
2023-07-28,11,560.0
2023-07-29,31,1730.0
2023-07-30,15,980.0
2023-07-31,17,600.0
2023-08-01,1,50.0
2023-08-02,6,210.0
2023-08-03,21,1230.0
2023-08-04,19,790.0
2023-08-05,5,260.0
2023-08-06,13,970.0
2023-08-07,10,520.0
2023-08-08,7,340.0
2023-08-09,10,410.0
2023-08-10,29,1840.0
2023-08-11,289,20490.0
2023-08-12,520,41830.0
2023-08-13,537,42520.0
2023-08-14,848,66760.0
2023-08-15,1878,153662.0
2023-08-16,489,33250.0
2023-08-17,1189,80810.0
2023-08-18,1052,72380.0
2023-08-19,2362,164900.0
2023-08-20,1412,100100.0
2023-08-21,1403,93810.0
2023-08-22,1563,105208.0
2023-08-23,1254,84360.0
2023-08-24,887,60920.0
2023-08-25,737,50690.0
2023-08-26,116,4380.0
2023-08-27,2,60.0
2023-08-28,5,190.0
2023-08-29,1,30.0
2023-08-30,11,410.0
2023-08-31,6,220.0
