Datum,Celkový počet,Tržba
2023-01-01,11,952.0
2023-01-02,17,1366.0
2023-01-03,45,4309.0
2023-01-04,29,2604.0
2023-01-05,19,2165.0
2023-01-06,36,3670.0
2023-01-07,32,3955.0
2023-01-08,29,2884.0
2023-01-09,14,1202.0
2023-01-10,47,4509.0
2023-01-11,33,3616.0
2023-01-12,48,5607.0
2023-01-13,37,3948.0
2023-01-14,29,3683.0
2023-01-15,39,3852.0
2023-01-16,24,2370.0
2023-01-17,48,4283.0
2023-01-18,23,2339.0
2023-01-19,30,3755.0
2023-01-20,48,4710.0
2023-01-21,32,3669.0
2023-01-22,27,2257.0
2023-01-23,23,2503.0
2023-01-24,54,6023.0
2023-01-25,33,3110.0
2023-01-26,60,6942.0
2023-01-27,35,3574.0
2023-01-28,39,4841.0
2023-01-29,44,4699.0
2023-01-30,21,1966.0
2023-01-31,44,4585.0
2023-02-01,33,3366.0
2023-02-02,39,4568.0
2023-02-03,49,4959.0
2023-02-04,47,5694.0
2023-02-05,47,5255.0
2023-02-06,20,1778.0
2023-02-07,43,5213.0
2023-02-08,22,2253.0
2023-02-09,40,4748.0
2023-02-10,32,3354.0
2023-02-11,30,3852.0
2023-02-12,52,4939.0
2023-02-13,25,2495.0
2023-02-14,26,2820.0
2023-02-15,26,2175.0
2023-02-16,31,3533.0
2023-02-17,53,4903.0
2023-02-18,27,2952.0
2023-02-19,36,4235.0
2023-02-20,27,2837.0
2023-02-21,40,4218.0
2023-02-22,28,2810.0
2023-02-23,36,3881.0
2023-02-24,33,3392.0
2023-02-25,25,2878.0
2023-02-26,48,4990.0
2023-02-27,19,1900.0
2023-02-28,52,5298.0
2023-03-01,27,2812.0
2023-03-02,33,3652.0
2023-03-03,45,3616.0
2023-03-04,25,3104.0
2023-03-05,56,5432.0
2023-03-06,24,2225.0
2023-03-07,35,3263.0
2023-03-08,25,2323.0
2023-03-09,40,4815.0
2023-03-10,32,3097.0
2023-03-11,29,3145.0
2023-03-12,43,4228.0
2023-03-13,20,1925.0
2023-03-14,37,4286.0
2023-03-15,31,3135.0
2023-03-16,31,3403.0
2023-03-17,30,2750.0
2023-03-18,27,3344.0
2023-03-19,32,2719.0
2023-03-20,27,2365.0
2023-03-21,29,2922.0
2023-03-22,21,1694.0
2023-03-23,24,2753.0
2023-03-24,36,2717.0
2023-03-25,35,3861.0
2023-03-26,54,5875.0
2023-03-27,27,2825.0
2023-03-28,45,4137.0
2023-03-29,33,3018.0
2023-03-30,35,4036.0
2023-03-31,37,3757.0
2023-04-01,30,3677.0
