Datum,Celkový počet,Tržba
2023-01-01,2,240.0
2023-01-02,1,144.0
2023-01-03,2,276.0
2023-01-04,2,156.0
2023-01-05,,
2023-01-06,,
2023-01-07,,
2023-01-08,2,288.0
2023-01-09,2,264.0
2023-01-10,,
2023-01-11,2,360.0
2023-01-12,1,132.0
2023-01-13,3,492.0
2023-01-14,,
2023-01-15,2,300.0
2023-01-16,1,144.0
2023-01-17,1,132.0
2023-01-18,3,444.0
2023-01-19,3,420.0
2023-01-20,2,228.0
2023-01-21,,
2023-01-22,3,576.0
2023-01-23,1,60.0
2023-01-24,2,180.0
2023-01-25,4,540.0
2023-01-26,1,120.0
2023-01-27,3,408.0
2023-01-28,3,336.0
2023-01-29,3,504.0
2023-01-30,,
2023-01-31,3,420.0
2023-02-01,3,276.0
2023-02-02,2,420.0
2023-02-03,3,360.0
2023-02-04,5,744.0
2023-02-05,6,912.0
2023-02-06,6,888.0
2023-02-07,3,456.0
2023-02-08,2,300.0
2023-02-09,5,756.0
2023-02-10,4,444.0
2023-02-11,,
2023-02-12,8,960.0
2023-02-13,,
2023-02-14,3,540.0
2023-02-15,7,1104.0
2023-02-16,4,420.0
2023-02-17,5,768.0
2023-02-18,2,360.0
2023-02-19,7,1164.0
2023-02-20,4,660.0
2023-02-21,7,1128.0
2023-02-22,3,540.0
2023-02-23,6,1140.0
2023-02-24,5,792.0
2023-02-25,3,396.0
2023-02-26,4,744.0
2023-02-27,3,384.0
2023-02-28,5,768.0
2023-03-01,4,480.0
2023-03-02,1,240.0
2023-03-03,5,804.0
2023-03-04,3,588.0
2023-03-05,7,1068.0
2023-03-06,3,600.0
2023-03-07,1,144.0
2023-03-08,8,1356.0
2023-03-09,3,504.0
2023-03-10,4,720.0
2023-03-11,2,192.0
2023-03-12,6,876.0
2023-03-13,7,1056.0
2023-03-14,2,480.0
2023-03-15,5,600.0
2023-03-16,4,564.0
2023-03-17,7,816.0
2023-03-18,4,540.0
2023-03-19,,
2023-03-20,5,660.0
2023-03-21,5,576.0
2023-03-22,3,420.0
2023-03-23,4,600.0
2023-03-24,4,480.0
2023-03-25,2,240.0
2023-03-26,2,360.0
2023-03-27,3,300.0
2023-03-28,7,888.0
2023-03-29,2,300.0
2023-03-30,4,540.0
2023-03-31,4,552.0
2023-04-01,2,216.0
2023-04-02,4,468.0
2023-04-03,2,300.0
2023-04-04,8,1008.0
2023-04-05,5,600.0
2023-04-06,3,444.0
2023-04-07,6,684.0
2023-04-08,4,720.0
2023-04-09,4,600.0
2023-04-10,2,396.0
2023-04-11,5,828.0
2023-04-12,5,660.0
2023-04-13,7,1284.0
2023-04-14,9,1236.0
2023-04-15,9,1296.0
2023-04-16,2,264.0
2023-04-17,3,576.0
2023-04-18,7,816.0
2023-04-19,6,1068.0
2023-04-20,3,396.0
2023-04-21,6,900.0
2023-04-22,,
2023-04-23,6,960.0
2023-04-24,4,648.0
2023-04-25,6,1104.0
2023-04-26,6,888.0
2023-04-27,7,1296.0
2023-04-28,3,408.0
2023-04-29,4,960.0
2023-04-30,1,120.0
2023-05-01,1,96.0
2023-05-02,3,504.0
2023-05-03,10,1248.0
2023-05-04,4,780.0
2023-05-05,4,504.0
2023-05-06,5,816.0
2023-05-07,2,480.0
2023-05-08,2,288.0
2023-05-09,8,1140.0
2023-05-10,6,948.0
2023-05-11,8,984.0
2023-05-12,9,1176.0
2023-05-13,5,936.0
2023-05-14,5,864.0
2023-05-15,8,1220.0
2023-05-16,8,1500.0
2023-05-17,5,792.0
2023-05-18,7,900.0
2023-05-19,3,456.0
2023-05-20,69,5400.0
2023-05-21,73,6048.0
2023-05-22,113,8464.0
2023-05-23,10,1324.0
2023-05-24,9,1308.0
2023-05-25,9,1088.0
2023-05-26,15,1300.0
2023-05-27,44,3566.0
2023-05-28,112,8760.0
2023-05-29,142,10100.0
2023-05-30,72,5780.0
2023-05-31,131,10530.0
2023-06-01,11,784.0
2023-06-02,2,180.0
2023-06-03,5,240.0
2023-06-04,4,220.0
2023-06-05,3,520.0
2023-06-06,6,948.0
2023-06-07,2,324.0
2023-06-08,3,450.0
2023-06-09,15,1542.0
2023-06-10,1,100.0
2023-06-11,3,420.0
2023-06-12,2,120.0
2023-06-13,4,504.0
2023-06-14,2,264.0
2023-06-15,2,420.0
2023-06-16,1,60.0
2023-06-17,4,194.0
2023-06-18,6,588.0
2023-06-19,2,144.0
2023-06-20,2,252.0
2023-06-21,9,630.0
2023-06-22,6,260.0
2023-06-23,3,270.0
2023-06-24,2,150.0
2023-06-25,5,0.0
2023-06-26,7,300.0
2023-06-27,3,564.0
2023-06-28,,
2023-06-29,9,634.0
2023-06-30,2,264.0
2023-07-01,2,120.0
2023-07-02,1,144.0
2023-07-03,1,180.0
2023-07-04,2,0.0
2023-07-05,,
2023-07-06,5,360.0
2023-07-07,2,160.0
2023-07-08,5,348.0
2023-07-09,2,0.0
2023-07-10,4,334.0
2023-07-11,5,168.0
2023-07-12,2,330.0
2023-07-13,2,276.0
2023-07-14,4,348.0
2023-07-15,4,246.0
2023-07-16,2,120.0
2023-07-17,1,50.0
2023-07-18,,
2023-07-19,,
2023-07-20,,
2023-07-21,1,0.0
2023-07-22,,
2023-07-23,,
2023-07-24,2,144.0
2023-07-25,1,180.0
2023-07-26,,
2023-07-27,1,84.0
2023-07-28,1,60.0
2023-07-29,2,360.0
2023-07-30,1,120.0
2023-07-31,2,144.0
2023-08-01,1,120.0
2023-08-02,4,564.0
2023-08-03,3,540.0
2023-08-04,2,240.0
2023-08-05,2,288.0
2023-08-06,,
2023-08-07,1,180.0
2023-08-08,,
2023-08-09,3,492.0
2023-08-10,5,528.0
2023-08-11,2,336.0
2023-08-12,3,522.0
2023-08-13,1,150.0
2023-08-14,2,50.0
2023-08-15,3,144.0
2023-08-16,1,0.0
2023-08-17,3,156.0
2023-08-18,,
2023-08-19,1,156.0
2023-08-20,1,156.0
2023-08-21,3,0.0
2023-08-22,2,0.0
2023-08-23,1,144.0
2023-08-24,1,0.0
2023-08-25,1,0.0
2023-08-26,1,156.0
2023-08-27,1,120.0
2023-08-28,1,144.0
2023-08-29,1,120.0
2023-08-30,2,324.0
2023-08-31,1,180.0
2023-09-01,3,540.0
2023-09-02,1,168.0
2023-09-03,6,984.0
2023-09-04,1,156.0
2023-09-05,1,180.0
2023-09-06,,
2023-09-07,,
2023-09-08,1,120.0
2023-09-09,,
2023-09-10,1,144.0
2023-09-11,1,144.0
2023-09-12,1,144.0
2023-09-13,1,180.0
2023-09-14,1,180.0
2023-09-15,3,396.0
2023-09-16,,
2023-09-17,,
2023-09-18,1,192.0
2023-09-19,2,360.0
2023-09-20,3,444.0
2023-09-21,1,156.0
2023-09-22,1,180.0
2023-09-23,,
2023-09-24,2,336.0
2023-09-25,,
2023-09-26,2,348.0
2023-09-27,,
2023-09-28,,
2023-09-29,2,288.0
2023-09-30,3,492.0
2023-10-01,2,264.0
2023-10-02,2,396.0
2023-10-03,3,540.0
2023-10-04,2,324.0
2023-10-05,1,180.0
2023-10-06,,
2023-10-07,1,180.0
2023-10-08,3,540.0
2023-10-09,,
2023-10-10,2,324.0
2023-10-11,,
2023-10-12,5,828.0
2023-10-13,3,540.0
2023-10-14,2,300.0
2023-10-15,2,444.0
2023-10-16,3,384.0
2023-10-17,4,660.0
2023-10-18,1,144.0
2023-10-19,4,636.0
2023-10-20,4,516.0
