Datum,Celkový počet,Tržba
2024-01-01,3,300.0
2024-01-02,5,756.0
2024-01-03,7,1188.0
2024-01-04,7,906.0
2024-01-05,8,924.0
2024-01-06,3,540.0
2024-01-07,1,360.0
2024-01-08,8,1500.0
2024-01-09,4,588.0
2024-01-10,7,1026.0
2024-01-11,6,1092.0
2024-01-12,6,810.0
2024-01-13,6,918.0
2024-01-14,1,90.0
2024-01-15,11,1920.0
2024-01-16,6,810.0
2024-01-17,5,912.0
2024-01-18,7,876.0
2024-01-19,6,876.0
2024-01-20,4,552.0
2024-01-21,5,834.0
2024-01-22,7,1158.0
2024-01-23,7,1398.0
2024-01-24,7,1020.0
2024-01-25,7,1044.0
2024-01-26,10,1776.0
2024-01-27,5,624.0
2024-01-28,7,1260.0
2024-01-29,6,912.0
2024-01-30,6,876.0
2024-01-31,8,1008.0
2024-02-01,7,1068.0
2024-02-02,7,912.0
2024-02-03,7,972.0
2024-02-04,7,1038.0
2024-02-05,10,1728.0
2024-02-06,8,1626.0
2024-02-07,6,756.0
2024-02-08,6,852.0
2024-02-09,8,1260.0
2024-02-10,6,894.0
2024-02-11,7,1332.0
2024-02-12,10,1572.0
2024-02-13,5,678.0
2024-02-14,3,600.0
2024-02-15,11,1488.0
2024-02-16,9,1374.0
2024-02-17,2,300.0
2024-02-18,10,1380.0
2024-02-19,6,768.0
2024-02-20,4,864.0
2024-02-21,10,1722.0
2024-02-22,6,984.0
2024-02-23,6,1032.0
2024-02-24,7,1212.0
2024-02-25,11,1464.0
2024-02-26,12,1890.0
2024-02-27,9,1134.0
2024-02-28,7,828.0
2024-02-29,7,1152.0
2024-03-01,6,774.0
2024-03-02,8,1134.0
2024-03-03,7,768.0
2024-03-04,2,264.0
2024-03-05,5,924.0
2024-03-06,5,684.0
2024-03-07,10,1980.0
2024-03-08,4,468.0
2024-03-09,,
2024-03-10,4,744.0
2024-03-11,13,2082.0
2024-03-12,7,1140.0
2024-03-13,8,1272.0
2024-03-14,10,1344.0
2024-03-15,4,498.0
2024-03-16,7,1206.0
2024-03-17,7,1146.0
2024-03-18,3,480.0
2024-03-19,3,312.0
2024-03-20,5,708.0
2024-03-21,8,1296.0
2024-03-22,4,600.0
2024-03-23,2,264.0
2024-03-24,6,960.0
2024-03-25,7,852.0
2024-03-26,6,978.0
2024-03-27,4,804.0
2024-03-28,5,588.0
2024-03-29,6,762.0
2024-03-30,3,432.0
2024-03-31,3,336.0
2024-04-01,1,180.0
2024-04-02,6,888.0
2024-04-03,8,924.0
2024-04-04,9,1320.0
2024-04-05,7,1224.0
2024-04-06,,
2024-04-07,3,390.0
2024-04-08,8,1236.0
2024-04-09,,
2024-04-10,6,1092.0
2024-04-11,6,780.0
2024-04-12,4,516.0
2024-04-13,5,756.0
2024-04-14,4,690.0
2024-04-15,2,192.0
2024-04-16,3,552.0
2024-04-17,4,780.0
2024-04-18,7,912.0
2024-04-19,2,300.0
2024-04-20,5,708.0
2024-04-21,3,420.0
2024-04-22,5,540.0
2024-04-23,8,1080.0
2024-04-24,5,1164.0
2024-04-25,5,798.0
2024-04-26,5,756.0
2024-04-27,6,810.0
2024-04-28,3,522.0
2024-04-29,2,240.0
2024-04-30,7,1008.0
2024-05-01,5,762.0
2024-05-02,2,360.0
2024-05-03,4,684.0
2024-05-04,1,300.0
2024-05-05,6,978.0
2024-05-06,4,522.0
2024-05-07,10,1470.0
2024-05-08,6,816.0
2024-05-09,9,1428.0
2024-05-10,6,648.0
2024-05-11,7,1128.0
2024-05-12,4,672.0
2024-05-13,5,702.0
2024-05-14,3,420.0
2024-05-15,3,636.0
2024-05-16,6,1080.0
2024-05-17,10,1428.0
2024-05-18,5,630.0
2024-05-19,5,792.0
2024-05-20,4,696.0
2024-05-21,4,588.0
2024-05-22,4,744.0
2024-05-23,8,1302.0
2024-05-24,4,540.0
2024-05-25,2,336.0
2024-05-26,5,744.0
2024-05-27,4,774.0
2024-05-28,8,1416.0
2024-05-29,1,240.0
2024-05-30,5,924.0
2024-05-31,4,654.0
2024-06-01,6,924.0
2024-06-02,5,738.0
