datum,návštěvnost,tržba
2023-01-01,128,11181
2023-01-02,272,22368
2023-01-03,339,27789
2023-01-04,358,30147
2023-01-05,319,26389
2023-01-06,364,30670
2023-01-07,366,31136
2023-01-08,453,37916
2023-01-09,265,21999
2023-01-10,444,37786
2023-01-11,350,28671
2023-01-12,328,26355
2023-01-13,425,37166
2023-01-14,394,32536
2023-01-15,517,45912
2023-01-16,232,19543
2023-01-17,347,27698
2023-01-18,420,36001
2023-01-19,390,32174
2023-01-20,394,33871
2023-01-21,317,26467
2023-01-22,439,39005
2023-01-23,286,23383
2023-01-24,348,27319
2023-01-25,394,33289
2023-01-26,365,29611
2023-01-27,422,35009
2023-01-28,345,29604
2023-01-29,468,40932
2023-01-30,255,20253
2023-01-31,405,32582
2023-02-01,388,32339
2023-02-02,360,28316
2023-02-03,405,33809
2023-02-04,387,32360
2023-02-05,473,40767
2023-02-06,251,21255
2023-02-07,345,28236
2023-02-08,360,28742
2023-02-09,335,26758
2023-02-10,351,28949
2023-02-11,384,33319
2023-02-12,497,42885
2023-02-13,251,21049
2023-02-14,364,29900
2023-02-15,370,31226
2023-02-16,347,28944
2023-02-17,376,31503
2023-02-18,377,32724
2023-02-19,533,44575
2023-02-20,249,20877
2023-02-21,395,31542
2023-02-22,381,32218
2023-02-23,328,25255
2023-02-24,405,33689
2023-02-25,0,0
2023-02-26,188,17119
2023-02-27,275,22524
2023-02-28,327,26825
2023-03-01,362,29857
2023-03-02,326,27175
2023-03-03,346,28426
2023-03-04,328,28235
2023-03-05,420,35677
2023-03-06,223,18261
2023-03-07,364,29655
2023-03-08,423,33971
2023-03-09,335,27842
2023-03-10,395,31755
2023-03-11,402,34428
2023-03-12,466,39939
2023-03-13,261,20860
2023-03-14,399,31030
2023-03-15,410,34607
2023-03-16,377,30426
2023-03-17,344,27894
2023-03-18,305,25561
2023-03-19,446,37453
2023-03-20,228,18950
2023-03-21,360,28711
2023-03-22,368,30024
2023-03-23,303,24766
2023-03-24,352,28656
2023-03-25,0,0
2023-03-26,268,24383
2023-03-27,264,20274
2023-03-28,320,26256
2023-03-29,386,32798
2023-03-30,331,26540
2023-03-31,362,29103
2023-04-01,376,32401
2023-04-02,465,40689
2023-04-03,182,14286
2023-04-04,346,27204
2023-04-05,329,27295
2023-04-06,315,25963
2023-04-07,264,21258
2023-04-08,331,28325
2023-04-09,267,21677
2023-04-10,123,9815
2023-04-11,291,23006
2023-04-12,324,25972
2023-04-13,297,24915
2023-04-14,373,30664
2023-04-15,357,28508
2023-04-16,382,32651
2023-04-17,180,13268
2023-04-18,340,28513
2023-04-19,364,30554
2023-04-20,293,24369
2023-04-21,290,23964
2023-04-22,248,23146
2023-04-23,407,36109
2023-04-24,213,17351
2023-04-25,315,26044
2023-04-26,354,28684
2023-04-27,309,25727
2023-04-28,,
2023-04-29,,
2023-04-30,57,5633
2023-05-01,188,15096
2023-05-02,282,22875
2023-05-03,303,24543
2023-05-04,189,15574
2023-05-05,259,20514
2023-05-06,268,22971
2023-05-07,322,28465
2023-05-08,204,17565
2023-05-09,245,19652
2023-05-10,283,23913
2023-05-11,267,22425
2023-05-12,285,24362
2023-05-13,237,21256
2023-05-14,327,28057
2023-05-15,198,14765
2023-05-16,298,24392
2023-05-17,324,25821
2023-05-18,262,20964
2023-05-19,276,21633
2023-05-20,84,7981
2023-05-21,348,29958
2023-05-22,201,16140
2023-05-23,284,22762
2023-05-24,265,21268
2023-05-25,245,19662
2023-05-26,215,17847
2023-05-27,240,21384
2023-05-28,331,30177
2023-05-29,213,17507
2023-05-30,256,20291
2023-05-31,271,22342
2023-06-01,249,21211
2023-06-02,217,16059
2023-06-03,234,20788
